Film_ID,Film_Name,Year,Decade,Role_Type,Film_Type,Career_Phase,Director,Lead_Actress,Co_Actor_Male_Lead,Music_Director,Production_House,Genre_Category,Verdict,Budget_Crores,Estimated_Collection_Crores,Inflation_Adjusted_Collection_2025,Box_Office_OpeningDay_Cr,Language,IMDB_Rating,Duration_Minutes,Release_Month,Number_of_Songs,Awards_Nominations,Character_Name,Notable_Song,Film_Status,Special_Notes
31,Jeevan Mrityu,1968,1960s,Lead,Solo,Rise,B.R. Chopra,Rekha,Amitabh Bachchan,Kalyanji-Anandji,Prakash Mehra Productions,Comedy,Hit,1.24,128,7680.0,1.42,Hindi,5.7,128,November,5,1,Baldev,Jatt Yamla Pagla,Regular,
32,Ishq Par Zor Nahin,1962,1960s,Lead,Solo,Rise,Arjun Hingorani,Neetu Singh,None,Kalyanji-Anandji,Sippy Films,Action-Drama,Average,1.29,67,4020.0,0.74,Hindi,5.8,137,July,4,1,Ajay,Pal Pal Dil Ke Paas,Regular,
33,Do Chor,1964,1960s,Lead,Solo,Rise,Unknown,Rakhee,None,Ravi,Yash Raj Films,Drama,Average,0.96,63,3780.0,0.7,Hindi,6.5,140,April,6,0,Raj,Holi Ke Din,Regular,
34,Bandhan,1962,1960s,Lead,Solo,Rise,Anil Sharma,Mumtaz,Shatrughan Sinha,Madan Mohan,Sippy Films,Family,Hit,1.53,50,3000.0,0.56,Hindi,5.9,121,November,7,1,Raja,None,Regular,
35,Mera Gaon Mera Desh,1976,1970s,Lead,Multi-starrer,Peak,Manmohan Desai,Neetu Singh,Jeetendra,Madan Mohan,Dharma Productions,Action,Average,4.72,177,4425.0,2.95,Hindi,7.2,162,December,4,1,Inspector,None,Regular,
36,Seeta Aur Geeta,1974,1970s,Lead,Solo,Peak,Raj Sippy,Mumtaz,Jeetendra,Khayyam,Sippy Films,Comedy,Super Hit,2.69,200,5000.0,3.33,Hindi,7.5,157,April,5,2,Raja,Holi Ke Din,Regular,Golden Jubilee hit
37,Chupke Chupke,1978,1970s,Lead,Multi-starrer,Peak,Ramesh Sippy,Mumtaz,Jeetendra,R.D. Burman,Prakash Mehra Productions,Comedy,Super Hit,4.94,100,2500.0,1.67,Hindi,7.5,159,November,7,2,Raja,Yeh Dosti,Iconic,Cult classic
38,Sholay,1976,1970s,Lead,Multi-starrer,Peak,Arjun Hingorani,Rakhee,Rajesh Khanna,Ravi,Yash Raj Films,Thriller,All-Time Blockbuster,1.32,1500,37500.0,25.0,Hindi,8.1,155,October,6,2,Raj,Pal Pal Dil Ke Paas,Iconic,Highest grossing Hindi film of its era
39,Pratigya,1971,1970s,Lead,Solo,Peak,B.R. Chopra,Mumtaz,Sanjeev Kumar,R.D. Burman,Dharma Productions,Family,Average,4.45,84,2100.0,1.4,Hindi,6.8,169,November,7,0,Kanwal,Main Jat Yamla Pagla Deewana,Regular,
40,Dharam Veer,1973,1970s,Lead,Solo,Peak,Hrishikesh Mukherjee,Asha Parekh,Rajesh Khanna,Khayyam,Yash Raj Films,Family,Blockbuster,3.28,300,7500.0,5.0,Hindi,7.2,162,November,4,0,Ajay,Yeh Dosti,Iconic,Cult classic
41,Charas,1978,1970s,Lead,Solo,Peak,Arjun Hingorani,Hema Malini,Amitabh Bachchan,Madan Mohan,Unknown,Romance,Super Hit,1.03,81,2025.0,1.35,Hindi,7.1,156,November,6,0,Dharam,Dream Girl,Regular,
42,Dream Girl,1971,1970s,Lead,Solo,Peak,Vijay Anand,Asha Parekh,Shatrughan Sinha,Kalyanji-Anandji,B.R. Films,Thriller,Average,4.17,44,1100.0,0.73,Hindi,7.4,134,February,5,0,None,Holi Ke Din,Regular,
43,Chacha Bhatija,1979,1970s,Lead,Solo,Peak,B.R. Chopra,Hema Malini,None,Salil Chowdhury,Sippy Films,Action-Drama,Average,2.2,168,4200.0,2.8,Hindi,6.0,147,January,6,0,Baldev,Main Jat Yamla Pagla Deewana,Regular,
44,Raja Jani,1978,1970s,Lead,Multi-starrer,Peak,Raj Sippy,Unknown,Sanjeev Kumar,Salil Chowdhury,Yash Raj Films,Romance,Hit,3.06,139,3475.0,2.32,Hindi,6.0,137,September,6,0,Raja,None,Regular,
45,Jugnu,1979,1970s,Lead,Solo,Peak,Vijay Anand,Unknown,Rajesh Khanna,Unknown,Rajshri Productions,Thriller,Hit,2.25,116,2900.0,1.93,Hindi,5.8,153,December,8,0,None,Mehbooba Mehbooba,Regular,
46,Resham Ki Dori,1974,1970s,Lead,Solo,Peak,Arjun Hingorani,Mumtaz,Rajesh Khanna,S.D. Burman,Unknown,Romance,Super Hit,3.9,56,1400.0,0.93,Hindi,7.0,141,December,6,1,Singh,Jatt Yamla Pagla,Regular,
47,Ghulami (1970s),1971,1970s,Lead,Solo,Peak,Ramesh Sippy,Zeenat Aman,Vinod Khanna,Khayyam,Sippy Films,Action-Drama,Super Hit,1.74,110,2750.0,1.83,Hindi,7.2,130,February,6,0,Inspector,None,Regular,
48,Samadhi,1973,1970s,Lead,Solo,Peak,Ramesh Sippy,Zeenat Aman,Rajesh Khanna,S.D. Burman,B.R. Films,Thriller,Hit,1.39,87,2175.0,1.45,Hindi,5.7,132,August,7,1,Shankar,Pal Pal Dil Ke Paas,Regular,
49,Yaadon Ki Baaraat,1976,1970s,Lead,Solo,Peak,Raj Sippy,Hema Malini,Raj Babbar,S.D. Burman,Yash Raj Films,Thriller,Flop,2.89,174,4350.0,2.9,Hindi,7.7,123,September,5,0,Ajay,Koi Haseena Jab,Regular,
50,Kahani Kismat Ki,1977,1970s,Lead,Solo,Peak,Prakash Mehra,Neetu Singh,None,Madan Mohan,Dharma Productions,Action,Super Hit,4.64,110,2750.0,1.83,Hindi,5.7,141,April,7,0,Ram,Mehbooba Mehbooba,Regular,
51,Jwala,1972,1970s,Lead,Solo,Peak,Unknown,Rakhee,Raj Babbar,Madan Mohan,B.R. Films,Romance,Hit,3.24,94,2350.0,1.57,Hindi,6.8,126,August,7,0,Raj,Jatt Yamla Pagla,Regular,
52,Naya Zamana (1970s),1970,1970s,Lead,Solo,Peak,Hrishikesh Mukherjee,Mumtaz,None,Kalyanji-Anandji,Rajshri Productions,Romance,Hit,0.85,125,3125.0,2.08,Hindi,7.2,162,September,4,0,Kanwal,Jatt Yamla Pagla,Regular,
53,Sanyasi,1973,1970s,Lead,Multi-starrer,Peak,Prakash Mehra,Rakhee,Shatrughan Sinha,Ravi,Yash Raj Films,Comedy,Super Hit,1.55,77,1925.0,1.28,Hindi,7.5,173,October,7,0,Singh,Dream Girl,Regular,
54,Chori Mera Kaam,1971,1970s,Lead,Solo,Peak,Ramesh Sippy,Asha Parekh,None,Madan Mohan,Deol Films,Action-Drama,Hit,1.42,132,3300.0,2.2,Hindi,7.2,143,October,8,0,Ajay,Dream Girl,Regular,
55,Kuchhe Dhaage,1977,1970s,Lead,Multi-starrer,Peak,Ramesh Sippy,Zeenat Aman,Raj Babbar,Salil Chowdhury,Deol Films,Drama,Average,1.16,30,750.0,0.5,Hindi,7.4,123,May,8,1,Baldev,Chupke Chupke Title,Regular,
56,Dost,1973,1970s,Lead,Solo,Peak,Manmohan Desai,Jaya Bhaduri,None,S.D. Burman,Prakash Mehra Productions,Action,Hit,2.91,140,3500.0,2.33,Hindi,6.3,147,July,4,0,Inspector,None,Regular,
57,Kala Sona,1971,1970s,Lead,Multi-starrer,Peak,Vijay Anand,Asha Parekh,Shatrughan Sinha,Unknown,Sippy Films,Thriller,Super Hit,1.08,123,3075.0,2.05,Hindi,7.4,134,October,5,0,Kanwal,None,Regular,
58,Manzil,1975,1970s,Lead,Multi-starrer,Peak,Arjun Hingorani,Asha Parekh,Shatrughan Sinha,Laxmikant-Pyarelal,Dharma Productions,Thriller,Average,1.68,76,1900.0,1.27,Hindi,5.8,120,April,5,0,Baldev,None,Regular,
59,Shankar Shambhu,1975,1970s,Lead,Solo,Peak,Hrishikesh Mukherjee,Hema Malini,Amitabh Bachchan,Khayyam,Prakash Mehra Productions,Thriller,Hit,1.66,138,3450.0,2.3,Hindi,7.6,174,January,7,0,Singh,Chupke Chupke Title,Regular,
60,Phaansi,1979,1970s,Lead,Solo,Peak,Raj Sippy,Sharmila Tagore,None,Unknown,Yash Raj Films,Action,Super Hit,0.95,171,4275.0,2.85,Hindi,6.8,122,March,7,0,Ajay,Yeh Dosti,Regular,
61,Alibaba Aur 40 Chor,1973,1970s,Lead,Solo,Peak,Arjun Hingorani,Asha Parekh,Vinod Khanna,Salil Chowdhury,Deol Films,Thriller,Average,3.17,87,2175.0,1.45,Hindi,7.4,133,May,7,0,Dharam,Jatt Yamla Pagla,Regular,
62,Mazaaq,1975,1970s,Lead,Solo,Peak,Manmohan Desai,Mumtaz,Jeetendra,Madan Mohan,Deol Films,Thriller,Super Hit,4.06,82,2050.0,1.37,Hindi,6.6,157,March,5,0,Singh,Mehbooba Mehbooba,Regular,
63,Kismat,1971,1970s,Lead,Solo,Peak,Ramesh Sippy,Rekha,Sunny Deol,Ravi,Deol Films,Action-Drama,Hit,3.0,141,3525.0,2.35,Hindi,7.0,169,December,6,0,Ram,Pal Pal Dil Ke Paas,Regular,
64,Phandebaaz,1979,1970s,Lead,Solo,Peak,Raj Sippy,Rekha,Shatrughan Sinha,Kalyanji-Anandji,Yash Raj Films,Family,Hit,2.48,151,3775.0,2.52,Hindi,6.8,120,November,8,0,Baldev,Jatt Yamla Pagla,Regular,
65,Jadu Tona,1971,1970s,Lead,Solo,Peak,Ramesh Sippy,Mumtaz,Bobby Deol,Laxmikant-Pyarelal,Deol Films,Family,Average,1.45,153,3825.0,2.55,Hindi,7.2,157,July,6,0,Kanwal,Dream Girl,Regular,
66,Dil Tujhko Diya,1979,1970s,Lead,Multi-starrer,Peak,Hrishikesh Mukherjee,Sharmila Tagore,Jeetendra,R.D. Burman,B.R. Films,Comedy,Hit,4.42,25,625.0,0.42,Hindi,5.8,157,December,6,0,Kanwal,Main Jat Yamla Pagla Deewana,Regular,
67,Apne Rang Hazaar,1973,1970s,Lead,Solo,Peak,Vijay Anand,Sharmila Tagore,Sanjeev Kumar,Unknown,Unknown,Comedy,Super Hit,2.37,120,3000.0,2.0,Hindi,5.7,140,September,5,1,None,Koi Haseena Jab,Regular,Film with sons Sunny & Bobby
68,Charas (Second),1977,1970s,Lead,Solo,Peak,Arjun Hingorani,Hema Malini,None,Ravi,Yash Raj Films,Thriller,Super Hit,3.5,72,1800.0,1.2,Hindi,6.1,167,December,6,0,Baldev,Chupke Chupke Title,Regular,
69,Dhan Daulat,1976,1970s,Lead,Solo,Peak,Arjun Hingorani,Zeenat Aman,Raj Babbar,R.D. Burman,Dharma Productions,Action-Drama,Hit,0.91,141,3525.0,2.35,Hindi,6.0,148,June,4,1,Prem,Holi Ke Din,Regular,
70,Kala Aadmi,1978,1970s,Lead,Solo,Peak,Prakash Mehra,Rakhee,Sunny Deol,Laxmikant-Pyarelal,Unknown,Thriller,Average,3.81,93,2325.0,1.55,Hindi,7.5,124,October,7,0,Ajay,Main Jat Yamla Pagla Deewana,Regular,
71,Ek Mahal Ho Sapno Ka,1977,1970s,Lead,Solo,Peak,Raj Sippy,Sharmila Tagore,Bobby Deol,Khayyam,Prakash Mehra Productions,Comedy,Average,0.91,100,2500.0,1.67,Hindi,6.1,168,January,4,1,Prem,Pal Pal Dil Ke Paas,Regular,
72,Pocket Maar,1974,1970s,Lead,Solo,Peak,Unknown,Jaya Bhaduri,Jeetendra,Khayyam,Dharma Productions,Action,Super Hit,1.77,110,2750.0,1.83,Hindi,7.7,129,July,8,0,Rakesh,None,Regular,
73,Aas Paas,1971,1970s,Lead,Solo,Peak,Manmohan Desai,Hema Malini,None,S.D. Burman,Unknown,Action,Hit,0.88,93,2325.0,1.55,Hindi,6.3,147,March,7,0,Ajay,Dream Girl,Regular,
74,Dost Aur Dushman,1974,1970s,Lead,Solo,Peak,Unknown,Unknown,Amitabh Bachchan,Laxmikant-Pyarelal,Rajshri Productions,Drama,Hit,4.16,118,2950.0,1.97,Hindi,6.0,140,May,6,1,Baldev,Dream Girl,Regular,
75,Dillagi,1977,1970s,Lead,Solo,Peak,Prakash Mehra,Neetu Singh,Sanjeev Kumar,Laxmikant-Pyarelal,Deol Films,Family,Flop,3.54,168,4200.0,2.8,Hindi,7.3,169,October,8,0,Veeru,Dream Girl,Regular,
76,Charas Ki Kasam,1979,1970s,Lead,Solo,Peak,Hrishikesh Mukherjee,Unknown,Sunny Deol,R.D. Burman,Rajshri Productions,Action-Drama,Hit,1.22,109,2725.0,1.82,Hindi,7.0,126,April,7,0,Inspector,None,Regular,
77,Apne Dushman,1978,1970s,Lead,Multi-starrer,Peak,Manmohan Desai,Hema Malini,Vinod Khanna,Ravi,Sippy Films,Romance,Super Hit,3.83,57,1425.0,0.95,Hindi,6.7,122,October,6,0,Baldev,Holi Ke Din,Regular,Film with sons Sunny & Bobby
78,Do Thug,1978,1970s,Lead,Solo,Peak,Vijay Anand,Asha Parekh,Amitabh Bachchan,R.D. Burman,Sippy Films,Family,Super Hit,4.29,125,3125.0,2.08,Hindi,6.8,164,May,4,1,Prem,Chupke Chupke Title,Regular,
79,Do Sholay,1970,1970s,Lead,Solo,Peak,Unknown,Rakhee,Bobby Deol,Kalyanji-Anandji,Unknown,Romance,Hit,3.61,34,850.0,0.57,Hindi,7.2,166,May,7,0,Dharam,Main Jat Yamla Pagla Deewana,Regular,
80,Jaan Hatheli Pe (1970s),1978,1970s,Lead,Multi-starrer,Peak,Vijay Anand,Neetu Singh,Sunny Deol,Khayyam,Rajshri Productions,Drama,Flop,2.03,124,3100.0,2.07,Hindi,6.1,139,June,6,0,Inspector,None,Regular,
81,Patthar Aur Payal,1976,1970s,Lead,Solo,Peak,Unknown,Unknown,Amitabh Bachchan,Khayyam,Yash Raj Films,Drama,Hit,0.85,162,4050.0,2.7,Hindi,7.8,138,October,4,1,Baldev,Pal Pal Dil Ke Paas,Regular,
82,Nafrat,1978,1970s,Lead,Solo,Peak,Vijay Anand,Neetu Singh,Sanjeev Kumar,S.D. Burman,Dharma Productions,Thriller,Average,1.67,120,3000.0,2.0,Hindi,7.7,154,December,8,1,Baldev,Chupke Chupke Title,Regular,
83,Shankar Dada,1977,1970s,Lead,Solo,Peak,Unknown,Jaya Bhaduri,Vinod Khanna,Kalyanji-Anandji,Rajshri Productions,Comedy,Flop,1.56,93,2325.0,1.55,Hindi,7.0,123,October,8,0,Dharam,Pal Pal Dil Ke Paas,Regular,
84,Do Sher,1970,1970s,Lead,Multi-starrer,Peak,Vijay Anand,Jaya Bhaduri,Amitabh Bachchan,Khayyam,Sippy Films,Drama,Average,2.57,40,1000.0,0.67,Hindi,6.0,124,November,8,0,Baldev,Chupke Chupke Title,Regular,
85,Rajput,1977,1970s,Lead,Solo,Peak,Prakash Mehra,Jaya Bhaduri,Rajesh Khanna,R.D. Burman,Rajshri Productions,Drama,Hit,4.23,26,650.0,0.43,Hindi,7.1,120,June,8,0,Inspector,Holi Ke Din,Regular,
86,Bikari,1977,1970s,Lead,Solo,Peak,B.R. Chopra,Hema Malini,Vinod Khanna,Kalyanji-Anandji,Yash Raj Films,Romance,Hit,1.89,152,3800.0,2.53,Hindi,5.8,123,August,5,0,Raja,Koi Haseena Jab,Regular,
87,Kaala Bazaar (1970s),1972,1970s,Lead,Solo,Peak,Manmohan Desai,Rakhee,Bobby Deol,R.D. Burman,Rajshri Productions,Comedy,Average,3.28,108,2700.0,1.8,Hindi,5.7,131,August,7,0,Veeru,Pal Pal Dil Ke Paas,Regular,
88,Bhola Bhala,1970,1970s,Lead,Solo,Peak,Raj Sippy,Hema Malini,Sanjeev Kumar,Khayyam,Dharma Productions,Drama,Super Hit,3.42,148,3700.0,2.47,Hindi,6.2,146,November,7,0,Shankar,None,Regular,
89,Paapi,1977,1970s,Lead,Solo,Peak,Hrishikesh Mukherjee,Rekha,None,Khayyam,Prakash Mehra Productions,Family,Hit,3.12,125,3125.0,2.08,Hindi,6.6,161,September,5,1,Veeru,Chupke Chupke Title,Regular,
90,Do Dil,1972,1970s,Lead,Multi-starrer,Peak,Anil Sharma,Asha Parekh,Raj Babbar,Ravi,Yash Raj Films,Drama,Average,2.04,89,2225.0,1.48,Hindi,7.5,142,August,6,0,Raj,Dream Girl,Regular,
91,Phool Aur Kante (early),1972,1970s,Lead,Solo,Peak,Ramesh Sippy,Asha Parekh,Raj Babbar,Unknown,Sippy Films,Comedy,Flop,4.01,98,2450.0,1.63,Hindi,7.2,144,November,6,0,Ram,Jatt Yamla Pagla,Regular,
92,Kaala Sona (variant),1970,1970s,Lead,Solo,Peak,Raj Sippy,Jaya Bhaduri,Raj Babbar,Unknown,Dharma Productions,Thriller,Hit,4.45,53,1325.0,0.88,Hindi,7.2,140,February,8,0,None,Dream Girl,Regular,
93,Inspector,1974,1970s,Lead,Multi-starrer,Peak,Ramesh Sippy,Rekha,Sunny Deol,S.D. Burman,Rajshri Productions,Action-Drama,Hit,4.56,119,2975.0,1.98,Hindi,6.5,171,December,4,0,Baldev,Yeh Dosti,Regular,
94,Shaukeen,1979,1970s,Lead,Solo,Peak,Manmohan Desai,Sharmila Tagore,Bobby Deol,R.D. Burman,Rajshri Productions,Comedy,Hit,2.59,59,1475.0,0.98,Hindi,6.4,143,October,6,0,Raja,Koi Haseena Jab,Regular,
95,Aakhri Dao,1976,1970s,Lead,Solo,Peak,Raj Sippy,Sharmila Tagore,Sanjeev Kumar,R.D. Burman,Prakash Mehra Productions,Romance,Hit,1.93,114,2850.0,1.9,Hindi,6.4,144,December,4,1,Ajay,Koi Haseena Jab,Regular,
96,Gambler,1979,1970s,Lead,Solo,Peak,Vijay Anand,Jaya Bhaduri,Vinod Khanna,Salil Chowdhury,Sippy Films,Action-Drama,Hit,3.46,178,4450.0,2.97,Hindi,7.8,164,November,7,0,Baldev,Dream Girl,Regular,
97,Jeet,1978,1970s,Lead,Multi-starrer,Peak,Vijay Anand,Unknown,Sunny Deol,Kalyanji-Anandji,Sippy Films,Family,Average,1.39,139,3475.0,2.32,Hindi,5.7,174,January,4,1,Prem,Main Jat Yamla Pagla Deewana,Regular,
98,Hukumat,1986,1980s,Lead,Solo,Late Peak,Anil Sharma,Hema Malini,Bobby Deol,Madan Mohan,B.R. Films,Action,Blockbuster,4.93,350,8750.0,5.83,Hindi,7.5,165,October,7,0,Singh,Holi Ke Din,Regular,
99,Elaan-E-Jung,1988,1980s,Lead,Solo,Late Peak,Ramesh Sippy,Jaya Bhaduri,None,Unknown,Sippy Films,Comedy,Average,1.52,89,2225.0,1.48,Hindi,6.9,151,February,5,0,Raja,Pal Pal Dil Ke Paas,Regular,
100,Insaniyat Ke Dushman,1987,1980s,Character Artist,Multi-starrer,Late Peak,Hrishikesh Mukherjee,Zeenat Aman,Rajesh Khanna,Khayyam,Prakash Mehra Productions,Thriller,Average,0.88,35,875.0,0.58,Hindi,6.6,174,February,5,0,Dharam,None,Regular,
101,Loha,1981,1980s,Lead,Solo,Peak,Manmohan Desai,Neetu Singh,Sanjeev Kumar,S.D. Burman,Deol Films,Romance,Flop,1.29,162,4050.0,2.7,Hindi,7.2,151,December,8,0,Raja,Koi Haseena Jab,Regular,
